"","age","degree","race","age_cat","sex","priors_count","score_num","two_year_recid"
"148",62,"Felony","African-American","Greater than 45","Male",8,4,0
"150",28,"Misdemeanor","African-American","25 - 45","Male",6,6,1
"156",22,"Felony","African-American","Less than 25","Male",1,5,1
"157",47,"Misdemeanor","African-American","Greater than 45","Male",23,8,1
"158",23,"Misdemeanor","African-American","Less than 25","Male",0,2,1
"160",66,"Felony","African-American","Greater than 45","Male",3,1,0
"162",37,"Misdemeanor","African-American","25 - 45","Male",2,9,1
"164",26,"Felony","African-American","25 - 45","Male",9,9,1
"166",23,"Felony","African-American","Less than 25","Male",0,3,1
"167",34,"Misdemeanor","African-American","25 - 45","Male",2,2,0
"168",23,"Misdemeanor","African-American","Less than 25","Female",1,4,0
"173",35,"Felony","African-American","25 - 45","Female",23,9,1
"175",26,"Felony","African-American","25 - 45","Male",2,10,1
"176",27,"Misdemeanor","African-American","25 - 45","Male",0,2,0
"177",28,"Felony","African-American","25 - 45","Female",0,8,0
"179",38,"Felony","African-American","25 - 45","Male",2,1,0
"180",28,"Felony","African-American","25 - 45","Female",1,9,0
"182",38,"Felony","African-American","25 - 45","Male",15,9,0
"183",28,"Misdemeanor","African-American","25 - 45","Male",2,5,0
"187",48,"Felony","African-American","Greater than 45","Male",0,1,0
"189",30,"Felony","African-American","25 - 45","Female",2,7,0
"190",41,"Misdemeanor","African-American","25 - 45","Female",5,6,0
"191",27,"Felony","African-American","25 - 45","Male",11,10,1
"192",37,"Misdemeanor","African-American","25 - 45","Male",0,1,0
"194",54,"Felony","African-American","Greater than 45","Male",11,9,0
"195",23,"Felony","African-American","Less than 25","Male",2,9,0
"196",41,"Misdemeanor","African-American","25 - 45","Male",0,1,0
"199",52,"Felony","African-American","Greater than 45","Male",0,4,0
"201",30,"Misdemeanor","African-American","25 - 45","Male",11,9,1
"203",22,"Felony","African-American","Less than 25","Male",0,4,0
"204",30,"Felony","African-American","25 - 45","Male",4,2,0
"208",32,"Felony","African-American","25 - 45","Male",14,9,0
"210",28,"Felony","African-American","25 - 45","Male",25,8,1
"212",25,"Felony","African-American","25 - 45","Male",0,3,0
"220",29,"Misdemeanor","African-American","25 - 45","Male",1,3,0
"221",20,"Felony","African-American","Less than 25","Male",1,8,1
"222",30,"Felony","African-American","25 - 45","Male",2,6,1
"224",27,"Felony","African-American","25 - 45","Male",4,4,0
"225",37,"Felony","African-American","25 - 45","Female",2,1,0
"226",20,"Felony","African-American","Less than 25","Male",0,8,0
"228",52,"Felony","African-American","Greater than 45","Female",0,1,0
"229",23,"Felony","African-American","Less than 25","Female",0,4,1
"230",48,"Felony","African-American","Greater than 45","Female",0,2,0
"233",30,"Felony","African-American","25 - 45","Male",11,7,1
"234",22,"Misdemeanor","African-American","Less than 25","Male",3,10,1
"236",41,"Misdemeanor","African-American","25 - 45","Female",2,3,0
"238",52,"Felony","African-American","Greater than 45","Male",3,6,1
"239",43,"Felony","African-American","25 - 45","Male",0,1,0
"243",21,"Misdemeanor","African-American","Less than 25","Male",0,9,1
"244",26,"Misdemeanor","African-American","25 - 45","Male",1,8,1
"247",34,"Misdemeanor","African-American","25 - 45","Male",5,4,0
"249",34,"Felony","African-American","25 - 45","Male",5,4,1
"250",39,"Felony","African-American","25 - 45","Male",6,3,1
"253",21,"Misdemeanor","African-American","Less than 25","Female",0,6,0
"254",23,"Misdemeanor","African-American","Less than 25","Male",4,8,1
"258",32,"Felony","African-American","25 - 45","Female",5,1,0
"260",27,"Misdemeanor","African-American","25 - 45","Male",0,1,0
"265",27,"Felony","African-American","25 - 45","Male",0,2,0
"266",20,"Felony","African-American","Less than 25","Male",0,10,1
"269",29,"Felony","African-American","25 - 45","Male",7,9,0
"270",20,"Felony","African-American","Less than 25","Male",0,9,1
"272",24,"Felony","African-American","Less than 25","Male",2,9,1
"276",36,"Felony","African-American","25 - 45","Female",0,7,0
"280",21,"Felony","African-American","Less than 25","Female",0,8,1
"282",24,"Felony","African-American","Less than 25","Male",0,3,0
"284",29,"Felony","African-American","25 - 45","Male",0,1,0
"287",32,"Felony","African-American","25 - 45","Male",12,9,1
"288",23,"Felony","African-American","Less than 25","Male",1,6,0
"289",47,"Felony","African-American","Greater than 45","Male",3,3,0
"291",19,"Felony","African-American","Less than 25","Male",2,10,1
"297",26,"Misdemeanor","African-American","25 - 45","Male",6,10,1
"299",23,"Felony","African-American","Less than 25","Female",0,5,1
"300",49,"Felony","African-American","Greater than 45","Male",3,5,0
"301",29,"Misdemeanor","African-American","25 - 45","Male",2,4,0
"303",23,"Felony","African-American","Less than 25","Male",3,10,1
"307",21,"Felony","African-American","Less than 25","Male",1,3,0
"309",21,"Felony","African-American","Less than 25","Male",4,9,1
"310",21,"Felony","African-American","Less than 25","Male",0,5,1
"314",25,"Felony","African-American","25 - 45","Male",7,8,1
"316",24,"Felony","African-American","Less than 25","Female",0,4,0
"317",42,"Felony","African-American","25 - 45","Male",1,1,0
"318",28,"Misdemeanor","African-American","25 - 45","Male",1,3,0
"319",26,"Felony","African-American","25 - 45","Male",6,8,1
"320",22,"Felony","African-American","Less than 25","Male",4,9,1
"322",37,"Felony","African-American","25 - 45","Male",23,9,1
"323",35,"Felony","African-American","25 - 45","Male",2,5,0
"324",53,"Felony","African-American","Greater than 45","Male",2,1,0
"325",29,"Felony","African-American","25 - 45","Male",7,4,0
"328",27,"Felony","African-American","25 - 45","Male",12,8,1
"329",28,"Felony","African-American","25 - 45","Male",5,9,0
"332",36,"Felony","African-American","25 - 45","Male",14,7,1
"333",29,"Felony","African-American","25 - 45","Male",2,5,0
"334",22,"Misdemeanor","African-American","Less than 25","Male",0,9,1
"336",56,"Felony","African-American","Greater than 45","Male",5,3,0
"337",27,"Felony","African-American","25 - 45","Male",9,8,1
"339",32,"Felony","African-American","25 - 45","Male",3,2,0
"344",22,"Felony","African-American","Less than 25","Female",0,7,0
"345",53,"Felony","African-American","Greater than 45","Male",11,6,0
"350",31,"Misdemeanor","African-American","25 - 45","Male",7,3,1
"352",28,"Felony","African-American","25 - 45","Male",8,6,1
"354",20,"Felony","African-American","Less than 25","Male",0,7,1
"356",58,"Misdemeanor","African-American","Greater than 45","Male",21,7,1
"357",22,"Felony","African-American","Less than 25","Male",3,7,0
"360",57,"Felony","African-American","Greater than 45","Male",1,5,1
"362",26,"Felony","African-American","25 - 45","Male",3,4,0
"365",29,"Felony","African-American","25 - 45","Male",2,6,0
"366",24,"Felony","African-American","Less than 25","Female",3,10,1
"372",20,"Felony","African-American","Less than 25","Male",1,10,1
"373",24,"Misdemeanor","African-American","Less than 25","Male",1,2,1
"375",50,"Felony","African-American","Greater than 45","Female",3,2,0
"376",30,"Misdemeanor","African-American","25 - 45","Male",1,1,0
"377",38,"Felony","African-American","25 - 45","Male",5,3,0
"379",46,"Felony","African-American","Greater than 45","Female",2,10,1
"382",27,"Misdemeanor","African-American","25 - 45","Male",13,8,1
"383",26,"Misdemeanor","African-American","25 - 45","Male",1,6,1
"384",29,"Felony","African-American","25 - 45","Male",3,5,1
"387",55,"Felony","African-American","Greater than 45","Male",5,3,1
"388",26,"Felony","African-American","25 - 45","Male",10,9,1
"389",28,"Felony","African-American","25 - 45","Male",5,10,0
"391",42,"Felony","African-American","25 - 45","Male",0,1,0
"392",23,"Felony","African-American","Less than 25","Male",6,6,0
"393",54,"Felony","African-American","Greater than 45","Male",28,9,1
"394",35,"Felony","African-American","25 - 45","Male",8,7,1
"395",24,"Felony","African-American","Less than 25","Female",6,9,1
"396",54,"Misdemeanor","African-American","Greater than 45","Male",2,1,0
"397",58,"Misdemeanor","African-American","Greater than 45","Male",12,6,1
"399",35,"Misdemeanor","African-American","25 - 45","Male",1,2,0
"400",20,"Felony","African-American","Less than 25","Male",1,10,1
"415",26,"Felony","African-American","25 - 45","Male",1,2,0
"418",54,"Misdemeanor","African-American","Greater than 45","Male",0,1,0
"419",29,"Felony","African-American","25 - 45","Male",4,4,1
"421",38,"Felony","African-American","25 - 45","Male",0,5,0
"425",66,"Felony","African-American","Greater than 45","Male",33,6,1
"431",26,"Misdemeanor","African-American","25 - 45","Female",0,2,0
"435",33,"Misdemeanor","African-American","25 - 45","Male",2,3,0
"436",34,"Felony","African-American","25 - 45","Female",6,4,0
"438",59,"Felony","African-American","Greater than 45","Male",10,7,1
"439",29,"Felony","African-American","25 - 45","Male",5,5,1
"442",52,"Misdemeanor","African-American","Greater than 45","Male",4,5,0
"443",20,"Felony","African-American","Less than 25","Male",0,4,1
"448",25,"Misdemeanor","African-American","25 - 45","Male",1,3,1
"449",31,"Felony","African-American","25 - 45","Male",0,2,0
"450",25,"Felony","African-American","25 - 45","Male",6,4,1
"456",35,"Felony","African-American","25 - 45","Male",0,7,0
"457",42,"Felony","African-American","25 - 45","Male",14,7,1
"461",27,"Felony","African-American","25 - 45","Male",5,9,1
"464",44,"Misdemeanor","African-American","25 - 45","Male",1,3,0
"466",42,"Felony","African-American","25 - 45","Male",8,5,0
"467",58,"Felony","African-American","Greater than 45","Male",6,6,0
"468",26,"Felony","African-American","25 - 45","Male",3,6,0
"470",39,"Felony","African-American","25 - 45","Male",3,3,1
"471",21,"Felony","African-American","Less than 25","Male",3,5,1
"473",22,"Felony","African-American","Less than 25","Male",3,7,1
"474",50,"Misdemeanor","African-American","Greater than 45","Male",3,3,0
"475",38,"Felony","African-American","25 - 45","Male",0,1,0
"477",28,"Felony","African-American","25 - 45","Male",16,8,1
"478",30,"Misdemeanor","African-American","25 - 45","Female",0,3,0
"479",23,"Felony","African-American","Less than 25","Male",1,5,0
"483",27,"Misdemeanor","African-American","25 - 45","Male",5,4,1
"485",35,"Felony","African-American","25 - 45","Female",6,2,1
"487",38,"Felony","African-American","25 - 45","Male",15,7,0
"489",25,"Misdemeanor","African-American","25 - 45","Female",0,3,0
"495",30,"Felony","African-American","25 - 45","Male",5,6,1
"501",25,"Misdemeanor","African-American","25 - 45","Male",0,3,0
"503",27,"Misdemeanor","African-American","25 - 45","Male",0,2,0
"507",20,"Felony","African-American","Less than 25","Male",1,3,0
"508",31,"Misdemeanor","African-American","25 - 45","Male",3,8,1
"509",27,"Misdemeanor","African-American","25 - 45","Male",3,7,1
"510",40,"Felony","African-American","25 - 45","Male",0,2,0
"511",22,"Felony","African-American","Less than 25","Male",11,10,1
"512",38,"Felony","African-American","25 - 45","Female",1,1,0
"514",30,"Misdemeanor","African-American","25 - 45","Male",1,7,0
"518",28,"Misdemeanor","African-American","25 - 45","Male",5,7,1
"520",22,"Felony","African-American","Less than 25","Male",0,8,1
"521",25,"Felony","African-American","25 - 45","Male",4,5,1
"524",28,"Felony","African-American","25 - 45","Male",10,3,0
"525",55,"Misdemeanor","African-American","Greater than 45","Male",9,3,1
"527",22,"Misdemeanor","African-American","Less than 25","Female",0,5,0
"529",31,"Misdemeanor","African-American","25 - 45","Male",1,1,0
"530",29,"Misdemeanor","African-American","25 - 45","Male",0,1,0
"531",61,"Felony","African-American","Greater than 45","Male",15,6,1
"533",20,"Felony","African-American","Less than 25","Male",4,9,1
"538",38,"Felony","African-American","25 - 45","Male",0,1,0
"539",27,"Felony","African-American","25 - 45","Male",18,9,1
"542",58,"Felony","African-American","Greater than 45","Female",4,2,1
"544",21,"Felony","African-American","Less than 25","Male",0,3,0
"545",22,"Felony","African-American","Less than 25","Female",0,8,0
"546",30,"Felony","African-American","25 - 45","Male",0,2,0
"547",30,"Felony","African-American","25 - 45","Male",8,8,1
"548",31,"Felony","African-American","25 - 45","Female",10,6,0
"551",31,"Felony","African-American","25 - 45","Male",0,8,1
"552",22,"Felony","African-American","Less than 25","Male",1,4,1
"553",27,"Felony","African-American","25 - 45","Male",13,7,1
"555",31,"Felony","African-American","25 - 45","Male",23,10,1
"556",47,"Felony","African-American","Greater than 45","Male",20,9,0
"557",22,"Felony","African-American","Less than 25","Male",3,7,0
"558",35,"Misdemeanor","African-American","25 - 45","Male",1,9,1
"560",65,"Misdemeanor","African-American","Greater than 45","Male",2,2,1
"561",35,"Misdemeanor","African-American","25 - 45","Male",0,4,0
"562",33,"Felony","African-American","25 - 45","Female",0,3,0
"565",21,"Felony","African-American","Less than 25","Male",0,5,0
"566",37,"Felony","African-American","25 - 45","Male",11,4,0
"569",31,"Misdemeanor","African-American","25 - 45","Female",0,1,0
"571",27,"Misdemeanor","African-American","25 - 45","Male",0,2,0
"572",36,"Misdemeanor","African-American","25 - 45","Male",0,7,1
"573",46,"Felony","African-American","Greater than 45","Male",17,9,1
"574",22,"Felony","African-American","Less than 25","Male",3,9,0
"578",23,"Misdemeanor","African-American","Less than 25","Male",2,10,1
"579",27,"Felony","African-American","25 - 45","Male",3,4,0
"582",31,"Felony","African-American","25 - 45","Male",5,7,0
"583",36,"Misdemeanor","African-American","25 - 45","Male",4,5,0
"584",44,"Felony","African-American","25 - 45","Male",14,8,1
"586",33,"Misdemeanor","African-American","25 - 45","Male",3,2,1
"588",57,"Felony","African-American","Greater than 45","Male",20,7,1
"589",28,"Misdemeanor","African-American","25 - 45","Male",2,4,0
"590",24,"Misdemeanor","African-American","Less than 25","Male",1,6,0
"591",44,"Felony","African-American","25 - 45","Male",1,1,0
"592",46,"Felony","African-American","Greater than 45","Male",0,1,0
"593",37,"Felony","African-American","25 - 45","Male",6,3,0
"594",26,"Misdemeanor","African-American","25 - 45","Male",10,6,1
"595",27,"Felony","African-American","25 - 45","Male",10,8,1
"599",28,"Felony","African-American","25 - 45","Male",0,1,0
"602",23,"Felony","African-American","Less than 25","Male",0,5,1
"603",50,"Felony","African-American","Greater than 45","Male",18,8,1
"604",45,"Misdemeanor","African-American","Greater than 45","Male",0,1,0
"605",22,"Felony","African-American","Less than 25","Male",1,5,0
"615",22,"Felony","African-American","Less than 25","Male",0,8,0
"618",45,"Felony","African-American","Greater than 45","Male",0,4,1
"619",36,"Felony","African-American","25 - 45","Female",4,10,1
"620",48,"Felony","African-American","Greater than 45","Male",2,6,0
"621",23,"Felony","African-American","Less than 25","Male",6,9,1
"622",24,"Felony","African-American","Less than 25","Male",0,8,0
"623",29,"Felony","African-American","25 - 45","Male",0,2,0
"624",24,"Felony","African-American","Less than 25","Male",0,3,0
"625",50,"Felony","African-American","Greater than 45","Male",11,9,0
"626",34,"Felony","African-American","25 - 45","Male",10,7,1
"627",23,"Felony","African-American","Less than 25","Male",0,2,0
"631",21,"Felony","African-American","Less than 25","Male",0,10,1
"633",25,"Misdemeanor","African-American","25 - 45","Male",7,5,1
"634",25,"Misdemeanor","African-American","25 - 45","Female",1,9,0
"635",71,"Felony","African-American","Greater than 45","Male",8,1,0
"636",39,"Misdemeanor","African-American","25 - 45","Male",10,9,0
"637",37,"Felony","African-American","25 - 45","Female",0,5,0
"638",20,"Felony","African-American","Less than 25","Male",0,5,1
"639",29,"Felony","African-American","25 - 45","Female",3,5,0
"640",22,"Felony","African-American","Less than 25","Male",2,5,1
"641",26,"Felony","African-American","25 - 45","Male",4,7,1
"642",47,"Felony","African-American","Greater than 45","Female",19,10,1
"646",23,"Felony","African-American","Less than 25","Female",0,2,0
"648",53,"Felony","African-American","Greater than 45","Female",0,1,0
"649",23,"Felony","African-American","Less than 25","Female",0,7,0
"650",26,"Felony","African-American","25 - 45","Male",5,7,1
"651",25,"Felony","African-American","25 - 45","Male",6,6,0
"653",27,"Felony","African-American","25 - 45","Male",4,9,1
"654",29,"Misdemeanor","African-American","25 - 45","Male",1,4,0
"657",31,"Misdemeanor","African-American","25 - 45","Male",0,2,0
"658",41,"Felony","African-American","25 - 45","Male",8,6,1
"661",37,"Felony","African-American","25 - 45","Male",4,2,0
"662",35,"Felony","African-American","25 - 45","Female",4,5,0
"666",57,"Felony","African-American","Greater than 45","Male",11,6,0
"669",37,"Felony","African-American","25 - 45","Female",3,7,0
"671",22,"Felony","African-American","Less than 25","Male",1,9,1
"673",24,"Felony","African-American","Less than 25","Male",0,5,1
"674",32,"Felony","African-American","25 - 45","Male",22,9,1
"676",63,"Misdemeanor","African-American","Greater than 45","Male",0,1,0
"679",24,"Misdemeanor","African-American","Less than 25","Female",1,5,1
"680",36,"Misdemeanor","African-American","25 - 45","Female",1,2,0
"683",36,"Felony","African-American","25 - 45","Male",3,2,1
"684",33,"Misdemeanor","African-American","25 - 45","Female",0,2,0
"685",39,"Felony","African-American","25 - 45","Male",0,3,0
"687",30,"Felony","African-American","25 - 45","Male",17,10,1
"688",24,"Felony","African-American","Less than 25","Male",1,1,1
"689",35,"Felony","African-American","25 - 45","Male",7,6,0
"690",24,"Felony","African-American","Less than 25","Male",0,3,0
"692",28,"Felony","African-American","25 - 45","Male",14,7,1
"693",32,"Misdemeanor","African-American","25 - 45","Male",0,5,0
"695",33,"Misdemeanor","African-American","25 - 45","Male",5,8,1
"696",29,"Felony","African-American","25 - 45","Male",16,10,0
"701",25,"Misdemeanor","African-American","25 - 45","Male",3,6,1
"702",23,"Felony","African-American","Less than 25","Female",1,3,0
"704",35,"Felony","African-American","25 - 45","Male",13,8,1
"707",43,"Felony","African-American","25 - 45","Male",20,8,0
"708",25,"Felony","African-American","25 - 45","Male",3,8,1
"709",48,"Felony","African-American","Greater than 45","Male",25,10,1
"710",22,"Misdemeanor","African-American","Less than 25","Male",1,7,1
"711",52,"Misdemeanor","African-American","Greater than 45","Male",9,8,1
"713",67,"Misdemeanor","African-American","Greater than 45","Male",4,7,1
"714",34,"Misdemeanor","African-American","25 - 45","Male",4,2,0
"716",28,"Felony","African-American","25 - 45","Male",1,4,1
"717",29,"Misdemeanor","African-American","25 - 45","Male",2,4,0
"718",37,"Felony","African-American","25 - 45","Male",6,5,1
"721",20,"Misdemeanor","African-American","Less than 25","Male",1,7,1
"724",21,"Felony","African-American","Less than 25","Male",1,8,0
"725",21,"Felony","African-American","Less than 25","Male",1,9,1
"727",26,"Misdemeanor","African-American","25 - 45","Male",4,8,1
"729",24,"Felony","African-American","Less than 25","Male",5,5,1
"732",24,"Misdemeanor","African-American","Less than 25","Male",7,9,0
"734",24,"Felony","African-American","Less than 25","Male",1,3,1
"735",36,"Misdemeanor","African-American","25 - 45","Male",9,8,0
"736",30,"Felony","African-American","25 - 45","Male",5,4,1
"738",25,"Felony","African-American","25 - 45","Male",0,9,1
"739",31,"Misdemeanor","African-American","25 - 45","Male",25,8,1
"740",24,"Felony","African-American","Less than 25","Male",0,4,0
"741",39,"Felony","African-American","25 - 45","Male",13,8,1
"743",30,"Felony","African-American","25 - 45","Female",4,3,0
"745",52,"Felony","African-American","Greater than 45","Female",0,1,0
"746",23,"Felony","African-American","Less than 25","Male",3,9,0
"747",26,"Misdemeanor","African-American","25 - 45","Female",1,2,0
"750",23,"Felony","African-American","Less than 25","Male",6,10,1
"752",28,"Felony","African-American","25 - 45","Male",1,3,0
"754",32,"Felony","African-American","25 - 45","Male",1,7,0
"756",51,"Felony","African-American","Greater than 45","Male",3,2,0
"758",32,"Felony","African-American","25 - 45","Male",4,5,0
"760",29,"Felony","African-American","25 - 45","Female",1,5,0
"762",26,"Felony","African-American","25 - 45","Male",9,7,1
"767",28,"Misdemeanor","African-American","25 - 45","Male",3,6,1
"768",32,"Felony","African-American","25 - 45","Male",3,1,1
"769",27,"Misdemeanor","African-American","25 - 45","Male",5,3,1
"772",33,"Felony","African-American","25 - 45","Male",0,2,1
"778",39,"Misdemeanor","African-American","25 - 45","Male",6,7,1
"779",22,"Felony","African-American","Less than 25","Male",1,7,1
"780",46,"Felony","African-American","Greater than 45","Male",2,2,1
"781",25,"Misdemeanor","African-American","25 - 45","Male",0,2,0
"783",28,"Misdemeanor","African-American","25 - 45","Male",4,2,1
"785",49,"Felony","African-American","Greater than 45","Male",3,1,1
"786",21,"Felony","African-American","Less than 25","Male",2,9,1
"787",32,"Felony","African-American","25 - 45","Male",19,10,1
"788",63,"Misdemeanor","African-American","Greater than 45","Male",3,9,0
"790",46,"Misdemeanor","African-American","Greater than 45","Male",0,1,0
"791",28,"Misdemeanor","African-American","25 - 45","Male",10,7,1
"792",27,"Felony","African-American","25 - 45","Male",1,2,0
"798",32,"Felony","African-American","25 - 45","Male",14,9,1
"799",24,"Felony","African-American","Less than 25","Male",2,7,0
"800",26,"Felony","African-American","25 - 45","Male",5,10,1
"803",21,"Felony","African-American","Less than 25","Male",1,8,0
"804",25,"Misdemeanor","African-American","25 - 45","Male",2,2,1
"805",22,"Felony","African-American","Less than 25","Male",6,7,1
"808",30,"Misdemeanor","African-American","25 - 45","Male",1,5,1
"809",45,"Felony","African-American","Greater than 45","Male",0,5,1
"810",33,"Felony","African-American","25 - 45","Male",7,7,1
"815",54,"Felony","African-American","Greater than 45","Male",0,1,0
"816",27,"Felony","African-American","25 - 45","Male",10,6,1
"819",23,"Felony","African-American","Less than 25","Male",2,6,1
"821",36,"Misdemeanor","African-American","25 - 45","Male",5,8,1
"822",29,"Felony","African-American","25 - 45","Male",10,7,1
"823",54,"Misdemeanor","African-American","Greater than 45","Male",4,5,1
"825",26,"Misdemeanor","African-American","25 - 45","Male",0,4,1
"826",20,"Felony","African-American","Less than 25","Female",0,4,0
"827",52,"Misdemeanor","African-American","Greater than 45","Male",6,1,1
"828",29,"Felony","African-American","25 - 45","Male",0,1,0
"829",23,"Misdemeanor","African-American","Less than 25","Female",6,7,0
"830",35,"Misdemeanor","African-American","25 - 45","Male",1,1,0
"832",21,"Misdemeanor","African-American","Less than 25","Male",1,7,1
"834",30,"Misdemeanor","African-American","25 - 45","Male",4,4,1
"835",30,"Felony","African-American","25 - 45","Female",3,4,0
"836",23,"Felony","African-American","Less than 25","Male",2,7,1
"838",29,"Felony","African-American","25 - 45","Male",6,10,1
"840",21,"Felony","African-American","Less than 25","Male",0,8,1
"841",22,"Misdemeanor","African-American","Less than 25","Female",0,3,0
"843",29,"Misdemeanor","African-American","25 - 45","Male",0,2,0
"844",30,"Felony","African-American","25 - 45","Male",6,5,1
"845",51,"Misdemeanor","African-American","Greater than 45","Male",17,4,0
"848",23,"Misdemeanor","African-American","Less than 25","Male",2,7,0
"849",36,"Felony","African-American","25 - 45","Male",5,4,0
"853",39,"Felony","African-American","25 - 45","Male",1,6,0
"854",29,"Felony","African-American","25 - 45","Male",2,6,0
"857",25,"Felony","African-American","25 - 45","Male",2,5,0
"858",31,"Felony","African-American","25 - 45","Male",0,10,0
"859",35,"Misdemeanor","African-American","25 - 45","Male",17,7,1
"860",27,"Misdemeanor","African-American","25 - 45","Male",11,10,1
"861",33,"Felony","African-American","25 - 45","Male",1,5,0
"862",28,"Felony","African-American","25 - 45","Male",6,9,1
"866",54,"Felony","African-American","Greater than 45","Female",0,1,0
"870",75,"Felony","African-American","Greater than 45","Female",5,1,0
"871",36,"Felony","African-American","25 - 45","Male",16,5,1
"873",25,"Misdemeanor","African-American","25 - 45","Female",5,7,1
"875",27,"Felony","African-American","25 - 45","Male",1,2,0
"876",28,"Misdemeanor","African-American","25 - 45","Male",3,3,1
"877",42,"Misdemeanor","African-American","25 - 45","Male",13,8,1
"878",59,"Misdemeanor","African-American","Greater than 45","Male",2,1,0
"883",35,"Misdemeanor","African-American","25 - 45","Male",1,10,1
"884",43,"Misdemeanor","African-American","25 - 45","Male",0,1,1
"886",21,"Misdemeanor","African-American","Less than 25","Female",0,5,0
"887",55,"Felony","African-American","Greater than 45","Male",17,10,1
"888",27,"Felony","African-American","25 - 45","Male",1,3,1
"889",40,"Felony","African-American","25 - 45","Male",0,1,0
"892",32,"Misdemeanor","African-American","25 - 45","Male",2,2,0
"893",36,"Misdemeanor","African-American","25 - 45","Male",4,5,1
"895",31,"Felony","African-American","25 - 45","Female",0,8,0
